key,type,gbif_key,gbif_publisher_key,license,issued,confidence,completeness,origin,title,alias,description,version,geographic_scope,taxonomic_scope,url,logo,notes,settings,source_key,contact,creator,editor,publisher,contributor
1018,TAXONOMIC,,,CC_BY,2012-01-11,2,95,EXTERNAL,The Global Lepidoptera Names Index,LepIndex,"LepIndex is a digitised and updated version of the unique index card archive to the scientific names of the living and fossil butterflies and moths of the world at the Natural History Museum (London). This card index was produced by the museum’s lepidopterists over many decades and contains about 95 % of all currently valid Lepidoptera names (15,578 genus and 157,474 species names in total), together with synonyms, misspellings and misidentifications.","12.3, Jan 2012",,Butterflies and moths,,https://github.com/Sp2000/colplus-repo/raw/master/logos/LepIndex.png,,"{""data access"": ""https://raw.githubusercontent.com/Sp2000/colplus-repo/master/ACEF/18.tar.gz"", ""data format"": ""acef"", ""csv quote escape"": ""\\"", ""import frequency"": 1, ""nomenclatural code"": ""zoological"", ""distribution gazetteer"": ""text""}",,"(,,""Adrian Hine, Natural History Museum"",,,,,,,,,)","{""(,G.,Beccaloni,,,,,,,,,)"",""(,M.,Scoble,,,,,,,,,)"",""(,I.,Kitching,,,,,,,,,)"",""(,T.,Simonsen,,,,,,,,,)"",""(,G.,Robinson,,,,,,,,,)"",""(,B.,Pitkin,,,,,,,,,)"",""(,A.,Hine,,,,,,,,,)"",""(,C.,Lyal,,,,,,,,,)""}",{},,
1019,TAXONOMIC,,,OTHER,2004-07-19,4,95,EXTERNAL,Moss TROPICOS Database,MOST,"The World Checklist of Mosses (W3MOST) provides current information on bryophyte species from the TROPICOS MOST database compiled by the Index of Mosses project, at the Missouri Botanical Garden. This database extraction, unlike the Index of Mosses, includes taxonomic opinions of numerous authors. All the known species of mosses are included.","1, Jul 2004",Global,Mosses,http://www.mobot.org/mobot/tropicos/most/checklist.shtml,https://github.com/Sp2000/colplus-repo/raw/master/logos/MOST.png,,"{""data access"": ""https://raw.githubusercontent.com/Sp2000/colplus-repo/master/ACEF/19.tar.gz"", ""data format"": ""acef"", ""import frequency"": 1, ""nomenclatural code"": ""botanical""}",,"(,Bob,Magill,,,,,,,,,)",,"{""(,M.R.,Crosby,,,,,,,,,)"",""(,R.,Magill,,,,,,,,,)""}",,
1020,TAXONOMIC,,,CC_BY,2011-12-24,5,99,EXTERNAL,Global Species Database of Odonata,Odonata,"The Global Species Database of Odonata is a list of all names of extant species of dragonflies and damselflies of the world. The present list is based on a database built during a period of twenty years. The original information was derived from a published catalogue by Davies & Tobin (1984, 1985). However, original publications were consulted to check the spelling and original combination of (virtually) all names. The present taxonomic status of every name in this list is based on published authoritative sources. Addition of the names of fossil taxa, and setting up a management committee for this database, are to be expected in the near future. The original information of the GSD Odonata is managed using a FoxPro application.",Dec 2011,,Dragonflies and damselflies,https://web.archive.org/web/20120701124136/http%3A//www.odonata.info:80/odonata/odonata/tree.html,https://github.com/Sp2000/colplus-repo/raw/master/logos/Odonata.png,,"{""data access"": ""https://raw.githubusercontent.com/Sp2000/colplus-repo/master/ACEF/20.tar.gz"", ""data format"": ""acef"", ""csv quote escape"": ""\\"", ""import frequency"": 1, ""nomenclatural code"": ""zoological"", ""distribution gazetteer"": ""text""}",,"(,J,""van Tol"",,,,,,,,,)","{""(,,\""Tol J. van\"",,,,,,,,,)""}",,,
1021,TAXONOMIC,,,,2018-06-01,5,100,EXTERNAL,Orthoptera Species File,SF Orthoptera,"The Orthoptera Species File is a taxonomic database of the world's Orthoptera (grasshoppers, locusts, katydids and crickets), both living and fossil. It has full synonymic and taxonomic information for more than 28,070 valid species, 45,850 scientific names, 213,200 citations to 14,200 references, 96,300 images, 1630 sound recordings, and 99,700 specimen records.","5.0, Jun 2018",,"Grasshoppers, locusts, katydids, crickets",http://Orthoptera.SpeciesFile.org,https://github.com/Sp2000/colplus-repo/raw/master/logos/SF_Orthoptera.png,,"{""data access"": ""https://raw.githubusercontent.com/Sp2000/colplus-repo/master/ACEF/21.tar.gz"", ""data format"": ""acef"", ""csv quote escape"": ""\\"", ""import frequency"": 1, ""nomenclatural code"": ""zoological"", ""distribution gazetteer"": ""text""}",,"(,Marilyn,Beckman,,,,,,,,,)","{""(,M.M.,Cigliano,,,,,,,,,)"",""(,H.,Braun,,,,,,,,,)"",""(,D.C.,Eades,,,,,,,,,)"",""(,D.,Otte,,,,,,,,,)""}",,,
1022,TAXONOMIC,,,,2005-11-14,4,99,EXTERNAL,Parhost World Database of Fleas,Parhost,"The Parhost World Database of Fleas is a complete electronic taxonomic checklist of order Siphonaptera. This is part of the original analytical system PARHOST, which contains extensive data on flea morphology, parasite–host associations, and geographical distribution.","2, Nov 2005",,Fleas,http://www.zin.ru/Animalia/Siphonaptera,https://github.com/Sp2000/colplus-repo/raw/master/logos/Parhost.png,,"{""data access"": ""https://raw.githubusercontent.com/Sp2000/colplus-repo/master/ACEF/22.tar.gz"", ""data format"": ""acef"", ""csv quote escape"": ""\\"", ""import frequency"": 1, ""nomenclatural code"": ""zoological"", ""distribution gazetteer"": ""text""}",,"(,,""S Medvedev, A Lobanov"",,,,,,,,,)","{""(,S.,Medvedev,,,,,,,,,)"",""(,A.,Lobanov,,,,,,,,,)"",""(,I.,Lyangouzov,,,,,,,,,)""}",,,
1023,TAXONOMIC,,,,2017-10-27,4,98,EXTERNAL,Phyllachorales,Phyllachorales,"Phyllachorales are mostly biotrophic parasites of angiosperms with strong evidence of co-evolution (particularly with the legumes and grasses); some are necrotrophic and a few saprobic. They occur primarily on the leaves and stems, rarely on the roots and have a widespread, but especially tropical, distribution linked, in the case of the biotrophs, with their hosts.",Oct 2017,,Tropical tar-spot fungi,http://www.speciesfungorum.org,https://github.com/Sp2000/colplus-repo/raw/master/logos/Phyllachorales.png,,"{""data access"": ""https://raw.githubusercontent.com/Sp2000/colplus-repo/master/ACEF/23.tar.gz"", ""data format"": ""acef"", ""csv quote escape"": ""\\"", ""import frequency"": 1, ""distribution gazetteer"": ""text""}",,"(,PF,Cannon,,,,,,,,,)","{""(,P.F.,Cannon,,,,,,,,,)""}",,,
1024,TAXONOMIC,,,CC_BY,2017-08-25,5,99,EXTERNAL,World Checklist of Selected Plant Families,WCSP,"These global plant family checklists are facilitated by the Royal Botanic Gardens, Kew. Each family checklist aims to provide the correct scientific name and includes all known published and accepted species and infraspecific taxa with their synonyms. They include the global distribution both in a narrative form and as the Botanical country codes as defined by the Taxonomic Databases Working Group. Pertinent nomenclatural and other comments as well as life-forms are included. All data have been peer reviewed by nomenclatural, taxonomic and regional experts from accross the world. Please visit http://apps.kew.org/wcsp/compilersReviewers.do for the list of reviewers.
Poaceae data is derived from Grassbase - the online world grassflora, W.D. Clayton, K.T. Harman & H. Williamson (www.kew.org/data/grasses-db.html).",Aug 2017,,116 families of seed plants,http://apps.kew.org/wcsp/,https://github.com/Sp2000/colplus-repo/raw/master/logos/WCSP.png,,"{""data access"": ""https://raw.githubusercontent.com/Sp2000/colplus-repo/master/ACEF/24.tar.gz"", ""data format"": ""acef"", ""csv quote escape"": ""\\"", ""import frequency"": 1, ""nomenclatural code"": ""botanical"", ""distribution gazetteer"": ""text""}",,"(,""Rafael (ed)"",Govaerts,,,,,,,,,)",,"{""(,R.,Govaerts,,,,,,,,,)""}",,
1025,TAXONOMIC,,,,2017-10-27,4,95,EXTERNAL,Rhytismatales,Rhytismatales,"The Rhytismatales, commonly referred to as ‘tar-spot’ fungi, are facultatively biotrophic, necrotrophic or saprobic on leaves and bark, sometimes also fruits, seeds and wood, frequently beginning as symptomless endobionts, later fruiting when the substratum has died. Those causing economic damage as needle diseases in conifers are the least poorly known. Their positive value as nutrient recyclers, and their possible protective role as endobionts is almost completely unevaluated. Most records are from the north temperate to subarctic zones, or from southern South America and Australasia; many collections are on conifers, the Ericaceae and Gramineae. Some species are widespread and plurivorous; others highly host-specific and limited in distribution.",Oct 2017,,Tar-spot fungi,http://www.speciesfungorum.org,https://github.com/Sp2000/colplus-repo/raw/master/logos/Rhytismatales.png,,"{""data access"": ""https://raw.githubusercontent.com/Sp2000/colplus-repo/master/ACEF/25.tar.gz"", ""data format"": ""acef"", ""csv quote escape"": ""\\"", ""import frequency"": 1, ""nomenclatural code"": ""botanical"", ""distribution gazetteer"": ""text""}",,"(,DW,Minter,,,,,,,,,)","{""(,D.W.,Minter,,,,,,,,,)""}",,,
1026,TAXONOMIC,,,,2004-12-05,4,97,EXTERNAL,Systematic Database of the Scale Insects of the World,ScaleNet,"The ScaleNet site provides comprehensive information on the scale insects (Hemiptera: Coccoidea) of the world, including queriable information on their classification, nomenclatural history, geographical distribution, host plants, natural enemies, economic importance and literature. Currently information can be retrieved for 27 families, and data of about 21,000 references dating from 1758 to the present. Ultimately, information will be provided for all 28 families of scale insects, comprising more than 7,500 species.",Dec 2004,,Scale insects,http://scalenet.info/catalogue/,https://github.com/Sp2000/colplus-repo/raw/master/logos/ScaleNet.png,,"{""data access"": ""https://raw.githubusercontent.com/Sp2000/colplus-repo/master/ACEF/26.tar.gz"", ""data format"": ""ACEF"", ""CSV_QUOTE_ESCAPE"": ""\\"", ""import frequency"": 1, ""NOMENCLATURAL_CODE"": ""ZOOLOGICAL"", ""DISTRIBUTION_GAZETTEER"": ""TEXT""}",,"(,Y,Ben-Dov,,,,,,,,,)","{""(,Y.,Ben-Dov,,,,,,,,,)"",""(,D.R.,Miller,,,,,,,,,)""}",,,
1027,TAXONOMIC,,,CC_BY,2021-04-27,4,99,EXTERNAL,World Scarabaeidae Database,Scarabs,"The World Scarabaeidae Database is currently only accessible through this checklist. It is included on the Annual Checklist by kind permission of Paul Schoolmeesters (schoolmeesterspaul@gmail.com).
The Scarabids are a large family of beetles, believed to include about 40,000 species.",2021-04-27,Global,Scarab beetles,,https://github.com/Sp2000/colplus-repo/raw/master/logos/Scarabs.png,,"{""csv quote"": ""\"""", ""data format"": ""coldp"", ""csv delimiter"": ""\t"", ""csv quote escape"": ""\\"", ""import frequency"": -1, ""nomenclatural code"": ""zoological"", ""distribution gazetteer"": ""text""}",,"(,P.,Schoolmeesters,,,,,,,,,)","{""(,P.,Schoolmeesters,,,,,,,,,)""}",,,
1028,TAXONOMIC,,,,2017-10-27,2,95,EXTERNAL,Species Fungorum,Species Fungorum,"The Index Fungorum (maintained by the Index Fungorum Partnership) is the global nomenclatural database for fungi (Fungi, chromistan fungi, protozoan fungi) and contains over 380,000 names at the rank of species and below. Some names in this database comprise the Species Fungorum component from CABI Bioservices and are identified as the correct name for a taxon or as a synonym. The names of about 34,000 species (plus 65,000 synonyms) of mainly economically important fungi in groups that are not yet covered globally in other GSDs are included. Species Fungorum aspires to be a global checklist of the fungi and provides links to sources of additional information (descriptions, illustrations, on-line identification systems) where these are available.",Oct 2017,,Fungi; protozoan fungi; chromistan fungi,http://www.speciesfungorum.org,https://github.com/Sp2000/colplus-repo/raw/master/logos/Species_Fungorum.png,,"{""data access"": ""https://raw.githubusercontent.com/Sp2000/colplus-repo/master/ACEF/28.tar.gz"", ""data format"": ""ACEF"", ""CSV_QUOTE_ESCAPE"": ""\\"", ""import frequency"": 1, ""NOMENCLATURAL_CODE"": ""BOTANICAL"", ""DISTRIBUTION_GAZETTEER"": ""TEXT""}",,"(,Paul,Kirk,,,,,,,,,)","{""(,P.M.,Kirk,,,,,,,,,)""}",,,
1029,TAXONOMIC,,,CC_BY,2019-07-15,5,100,EXTERNAL,World Spider Catalog,WSC,"A successor to 14 published volumes by Bonnet, Roewer, Brignoli, Platnick, and the online version by Platnick, the World Spider Catalog aims to provide listings of all currently valid species, genera, and families of spiders, all their synonyms, and all significant taxonomic references to each species, from Linnaeus to date. The World Spider Catalog is continuously updated.",20,Global,Spiders,https://wsc.nmbe.ch/,https://github.com/Sp2000/colplus-repo/raw/master/logos/WSC.png,,"{""csv quote"": ""\"""", ""data access"": ""https://github.com/CatalogueOfLife/data-world-spider-catalog/archive/master.zip"", ""data format"": ""acef"", ""csv delimiter"": "","", ""csv quote escape"": ""/"", ""import frequency"": 1, ""rematch decisions"": true, ""nomenclatural code"": ""zoological""}",,"(,Daniel,Gloor,,,,,,,,,)","{""(,C.,Kropf,,,,,,,,,)"",""(,W.,Nentwig,,,,,,,,,)"",""(,T.,Blick,,,,,,,,,)"",""(,\""D. (Organizing Board)\"",Gloor,,,,,,,,,)""}",{},,
1030,TAXONOMIC,,,CC_BY,2005-06-15,5,98,EXTERNAL,TicksBase,TicksBase,"TicksBase is a searchable taxonomic catalogue of all known ticks (Acari: Ixodida) of the world and is facilitated by the International Consortium on Ticks and Tick-borne Diseases (ICTTD). It currently comprises 889 valid species (702 Ixodid, 186 Argasid and 1 Nuttalliella tick (sub-)species), including their synonyms, (limited) distribution data and common names.","5.6, Jun 2005",Global,Ticks,,https://github.com/Sp2000/colplus-repo/raw/master/logos/TicksBase.png,,"{""data access"": ""https://raw.githubusercontent.com/Sp2000/colplus-repo/master/ACEF/30.tar.gz"", ""data format"": ""acef"", ""import frequency"": 1, ""nomenclatural code"": ""zoological""}",,"(,,""AM Nijhof, AA Guglielmone"",,,,,,,,,)","{""(,A.M.,Nijhof,,,,,,,,,)"",""(,A.A.,Guglielmone,,,,,,,,,)"",""(,I.G.,Horak,,,,,,,,,)""}",{},,
1031,TAXONOMIC,,,OTHER,2011-11-21,4,98,EXTERNAL,Global taxonomic database of Tineidae (Lepidoptera),Tineidae NHM,"The Tineidae - the clothes-moth family - comprises more than 2,000 currently recognized species (with almost 3000 applicable names) of small to medium-sized moths. They differ from all other Lepidoptera in their unorthodox larval biology: most tineid larvae feed on plant or animal detritus, lichen or fungi. In addition to the data available in the Catalogue of Life, this database also gives information on where, when and by whom each taxon was described, and where the original type specimen(s) came from.","9.0, Nov 2011",,Clothes-moths,https://web.archive.org/web/20160805065355/http%3A//www.nhm.ac.uk/research-curation/research/projects/tineidae/index.html,https://github.com/Sp2000/colplus-repo/raw/master/logos/Tineidae_NHM.png,,"{""data access"": ""https://raw.githubusercontent.com/Sp2000/colplus-repo/master/ACEF/31.tar.gz"", ""data format"": ""ACEF"", ""CSV_QUOTE_ESCAPE"": ""\\"", ""import frequency"": 1, ""NOMENCLATURAL_CODE"": ""ZOOLOGICAL"", ""DISTRIBUTION_GAZETTEER"": ""TEXT""}",,"(,A,Hine,,,,,,,,,)","{""(,\""G.S (†)\"",Robinson,,,,,,,,,)""}",,,
