"interval_no","record_type","scale_no","scale_level","interval_name","abbrev","parent_no","color","max_ma","min_ma","reference_no"
"704","int","","","Lacian","","","","221.50000","215.56000","9098"
"939","int","","","Balfour","","","","227.50000","201.60000","18155"
"985","int","","","Oretian","","","","227.50000","221.50000","18155"
"136","int","1","5","Norian","","44","#D6AAD3","228.00000","208.50000","47900"
"705","int","","","Tuvalian","","","","232.00000","221.50000","9098"
"706","int","","","Julian","","","","235.00000","232.00000","9098"
"44","int","1","4","Late Triassic","","16","#BD8CC3","237.00000","201.30000","47900"
"137","int","1","5","Carnian","","44","#C99BCB","237.00000","228.00000","47900"
"986","int","","","Kaihikuan","","","","238.50000","227.50000","18155"
"1050","int","","","Bukobayian","","","","242.00000","235.00000","29103"
"707","int","","","Longobardian","","","","242.00000","235.00000","9098"
"708","int","","","Fassanian","","","","242.00000","235.00000","9098"
"138","int","1","5","Ladinian","","45","#C983BF","242.00000","237.00000","47900"
"987","int","","","Etalian","","","","244.50000","238.50000","18155"
"710","int","","","Pelsonian","","","","247.20000","242.00000","9098"
"1051","int","","","Donguzian","","","","247.20000","235.00000","29103"
"711","int","","","Bithynian","","","","247.20000","242.00000","9098"
"712","int","","","Aegean","","","","247.20000","242.00000","9098"
"709","int","","","Illyrian","","","","247.20000","242.00000","9098"
"45","int","1","4","Middle Triassic","","16","#B168B1","247.20000","237.00000","47900"
"139","int","1","5","Anisian","","45","#BC75B7","247.20000","242.00000","47900"
"652","int","1","5","Olenekian","","46","#B051A5","251.20000","247.20000","47900"
"140","int","","","Spathian","","","","251.30000","247.20000","5954"
"988","int","","","Malakovian","","","","251.30000","244.50000","18155"
"1048","int","","","Yarengian","","","","251.30000","247.20000","29103"
"1053","int","","","Fedorovkian","","","","251.30000","247.20000","29103"
"713","int","","","Smithian","","","","251.30000","247.20000","9098"
"1055","int","","","Sludkian","","","","252.17000","247.20000","29103"
"141","int","","","Nammalian","","","","252.17000","247.20000","5954"
"1056","int","","","Rybinskian","","","","252.17000","247.20000","29103"
"989","int","","","Nelsonian","","","","252.17000","247.20000","18155"
"142","int","","","Griesbachian","","","","252.17000","251.30000","5954"
"1052","int","","","Gamian","","","","252.17000","247.20000","29103"
"1057","int","","","Vokhmian","","","","252.17000","247.20000","29103"
"940","int","","","Gore","","","","252.17000","227.50000","18155"
"1049","int","","","Vetlugian","","","","252.17000","247.20000","29103"
"1054","int","","","Ustmylian","","","","252.17000","247.20000","29103"
"714","int","","","Dienerian","","","","252.17000","251.30000","9098"
"2","int","1","2","Mesozoic","Mz","751","#67C5CA","252.17000","66.00000","47900"
"16","int","1","3","Triassic","Tr","2","#812B92","252.17000","201.30000","47900"
"46","int","1","4","Early Triassic","","16","#983999","252.17000","247.20000","47900"
"653","int","1","5","Induan","","46","#A4469F","252.17000","251.20000","47900"
"990","int","","","Makarewan","","","","253.00000","252.17000","18155"
"991","int","","","Waiitian","","","","253.00000","252.30000","18155"
"1105","int","","","Meishanian","","","","253.50000","252.30000","42679"
"1106","int","","","Baoqingian","","","","254.00000","253.50000","42679"
"913","int","","","Chhidru","","","","254.00000","252.30000","15443"
"475","int","","","Dewey Lake","","","","254.00000","252.30000","5954"
"715","int","1","5","Changhsingian","","771","#FCC0B2","254.17000","252.17000","9184"
"1107","int","","","Laoshanian","","","","258.10000","254.00000","42679"
"992","int","","","Puruhauan","","","","259.00000","253.00000","18155"
"852","int","","","Vyatkian","","","","259.00000","252.30000","15443"
"477","int","","","Salado","","","","259.00000","254.00000","5954"
"478","int","","","Castile","","","","259.00000","254.00000","5954"
"1108","int","","","Laibinian","","","","259.00000","258.10000","42679"
"914","int","","","Kalabagh","","","","259.00000","254.00000","15443"
"144","int","","","Longtanian","","","","259.00000","254.00000","5954"
"47","int","","","Zechstein","","","","259.00000","252.30000","5954"
"476","int","","","Rustler","","","","259.00000","254.00000","5954"
"941","int","","","DUrville","","","","259.00000","251.30000","18155"
"1059","int","","","Early Vyatkian","","","","259.00000","252.30000","29103"
"771","int","1","4","Lopingian","","17","#FBA794","259.90000","252.17000","47900"
"716","int","1","5","Wuchiapingian","","771","#FCB4A2","259.90000","254.17000","9184"
"1060","int","","","Late Severodvinian","","","","265.00000","254.00000","29103"
"1061","int","","","Early Severodvinian","","","","265.00000","252.30000","29103"
"993","int","","","Flettian","","","","265.00000","259.00000","18155"
"853","int","","","Severodvinian","","","","265.00000","254.00000","15443"
"917","int","","","Lengwuan","","","","265.00000","259.00000","15443"
"465","int","","","Buntsandstein","","","","265.00000","252.30000","5954"
"479","int","","","Capitan","","","","265.00000","259.00000","5954"
"466","int","","","Ohre","","","","265.00000","259.00000","5954"
"1058","int","","","Late Vyatkian","","","","265.00000","252.30000","29103"
"915","int","","","Wargal","","","","265.00000","254.00000","15443"
"906","int","","","Pamirian","","","","265.00000","252.30000","15443"
"467","int","","","Aller","","","","265.00000","259.00000","5954"
"145","int","1","5","Capitanian","","772","#FB9A85","265.10000","259.90000","5954"
"907","int","","","Murgabian","","","","268.00000","265.00000","15443"
"468","int","","","Leine","","","","268.00000","265.00000","5954"
"1062","int","","","Late Urzhumian","","","","268.00000","265.00000","29103"
"469","int","","","Stassfurt Evaporites","","","","268.00000","265.00000","5954"
"1063","int","","","Early Urzhumian","","","","268.00000","265.00000","29103"
"904","int","","","Tatarian","","","","268.00000","252.30000","15443"
"854","int","","","Urzhumian","","","","268.00000","265.00000","15443"
"470","int","","","Hauptdolomitstinkschiefer","","","","268.00000","265.00000","5954"
"480","int","","","Word","","","","268.00000","265.00000","5954"
"146","int","1","5","Wordian","","772","#FB8D76","268.80000","265.10000","5954"
"772","int","1","4","Guadalupian","","17","#FB745C","272.30000","259.90000","47900"
"717","int","1","5","Roadian","","772","#FB8069","272.30000","268.80000","9184"
"916","int","","","Amb","","","","272.50000","265.00000","15443"
"908","int","","","Kubergandian","","","","272.50000","268.00000","15443"
"1047","int","","","Biarmian","","","","272.50000","268.00000","29103"
"1064","int","","","Late Kazanian","","","","272.50000","268.00000","29103"
"918","int","","","Kuhfengian","","","","272.50000","265.00000","15443"
"1065","int","","","Early Kazanian","","","","272.50000","268.00000","29103"
"905","int","","","Kazanian","","","","272.50000","268.00000","15443"
"855","int","","","Povolzhian","","","","272.50000","268.00000","15443"
"856","int","","","Sokian","","","","272.50000","268.00000","15443"
"994","int","","","Barettian","","","","273.00000","265.00000","18155"
"148","int","1","5","Kungurian","","773","#E38776","279.30000","272.30000","5954"
"1067","int","","","Solikamskian","","","","279.50000","272.50000","29103"
"857","int","","","Irenian","","","","279.50000","272.50000","15443"
"473","int","","","Kupferschiefer","","","","279.50000","272.50000","5954"
"858","int","","","Filipovian","","","","279.50000","272.50000","15443"
"474","int","","","Weissliegendes","","","","279.50000","272.50000","5954"
"909","int","","","Bolorian","","","","279.50000","272.50000","15443"
"859","int","","","Saranian","","","","279.50000","272.50000","15443"
"919","int","","","Luodianian","","","","279.50000","272.50000","15443"
"471","int","","","Werra","","","","279.50000","272.50000","5954"
"1066","int","","","Sheshmian","","","","279.50000","272.50000","29103"
"147","int","","","Ufimian","","","","279.50000","272.50000","5954"
"472","int","","","Zechsteinkalk","","","","279.50000","272.50000","5954"
"995","int","","","Mangapirian","","","","280.00000","273.00000","18155"
"861","int","","","Irginian","","","","290.10000","279.50000","15443"
"942","int","","","Aparima","","","","290.10000","259.00000","18155"
"862","int","","","Burtsevian","","","","290.10000","279.50000","15443"
"910","int","","","Yakhtashian","","","","290.10000","272.50000","15443"
"860","int","","","Sarginian","","","","290.10000","279.50000","15443"
"996","int","","","Telfordian","","","","290.10000","280.00000","18155"
"481","int","","","Leonard","","","","290.10000","268.00000","5954"
"149","int","1","5","Artinskian","","773","#E37B68","290.10000","279.30000","5954"
"863","int","","","Sterlitamakian","","","","293.00000","290.10000","15443"
"864","int","","","Tastubian","","","","295.00000","293.00000","15443"
"920","int","","","Longlinian","","","","295.00000","279.50000","15443"
"911","int","","","Khoridzhian","","","","295.00000","290.10000","15443"
"150","int","1","5","Sakmarian","","773","#E36F5C","295.50000","290.10000","5954"
"482","int","","","Wolfcamp","","","","296.40000","268.00000","5954"
"894","int","","","Bursumian","","","","296.40000","295.00000","15443"
"865","int","","","Shikhanian","","","","296.40000","295.00000","15443"
"866","int","","","Uskalykian","","","","297.45000","296.40000","15443"
"921","int","","","Zisongian","","","","298.90000","290.10000","15443"
"912","int","","","Sebisurkhian","","","","298.90000","295.00000","15443"
"867","int","","","Sjuranian","","","","298.90000","297.45000","15443"
"849","int","","","Autunian","","","","298.90000","295.00000","15443"
"895","int","","","Mapingian","","","","298.90000","295.00000","15443"
"850","int","","","Lebach","","","","298.90000","295.00000","15443"
"48","int","","","Rotliegendes","","","","298.90000","254.00000","5954"
"17","int","1","3","Permian","P","3","#F04028","298.90000","252.17000","47900"
"773","int","1","4","Cisuralian","","17","#EF5845","298.90000","272.30000","47900"
"151","int","1","5","Asselian","","773","#E36350","298.90000","295.50000","5954"
"868","int","","","Melekhovian","","","","300.20000","298.90000","15443"
"152","int","","","Noginian","","","","301.20000","300.20000","5954"
"851","int","","","Kuzel","","","","301.20000","298.90000","15443"
"869","int","","","Pavlovoposadian","","","","302.20000","301.20000","15443"
"870","int","","","Rusavkian","","","","303.40000","302.20000","15443"
"153","int","","","Klazminskian","","","","303.40000","301.20000","5954"
"456","int","","","Virgilian","","","","303.40000","298.90000","5954"
"448","int","","","Stephanian C","","","","303.40000","301.20000","5954"
"49","int","1","5","Gzhelian","","27","#CCD4C7","303.70000","298.90000","5954"
"154","int","","","Dorogovilovian","","","","304.80000","303.40000","5954"
"449","int","","","Stephanian B","","","","304.80000","303.40000","5954"
"450","int","","","Stephanian A","","","","305.90000","304.80000","5954"
"457","int","","","Missourian","","","","305.90000","303.40000","5954"
"155","int","","","Khamovnichean","","","","305.90000","304.80000","5954"
"445","int","","","Stephanian","","","","306.95000","298.90000","5954"
"774","int","","","Late Pennsylvanian","","","","306.95000","298.90000","15443"
"896","int","","","Xiaodushanian","","","","306.95000","298.90000","15443"
"156","int","","","Krevyakian","","","","306.95000","305.90000","5954"
"50","int","1","5","Kasimovian","","27","#BFD0C5","307.00000","303.70000","5954"
"157","int","","","Myachkovian","","","","309.00000","306.95000","5954"
"871","int","","","Peskovian","","","","309.00000","305.90000","15443"
"451","int","","","Cantabrian","","","","311.45000","305.90000","5954"
"158","int","","","Podolskian","","","","311.45000","309.00000","5954"
"452","int","","","Westphalian D","","","","311.45000","306.95000","5954"
"159","int","","","Kashirian","","","","313.80000","311.45000","5954"
"458","int","","","Desmoinesian","","","","313.80000","305.90000","5954"
"454","int","","","Westphalian B","","","","314.60000","314.60000","5954"
"872","int","","","Tsninian","","","","314.60000","311.45000","15443"
"775","int","","","Middle Pennsylvanian","","","","314.60000","306.95000","15443"
"453","int","","","Westphalian C","","","","314.60000","311.45000","5954"
"160","int","","","Vereian","","","","314.60000","313.80000","5954"
"897","int","","","Dalanian","","","","314.60000","303.40000","15443"
"51","int","1","5","Moscovian","","27","#B3CBB9","315.20000","307.00000","5954"
"161","int","","","Melekesian","","","","318.10000","314.60000","5954"
"875","int","","","Krasnopolyanian","","","","318.10000","314.60000","15443"
"776","int","","","Early Pennsylvanian","","","","318.10000","314.60000","15443"
"898","int","","","Huashibanian","","","","318.10000","314.60000","15443"
"459","int","","","Atokan","","","","318.10000","311.45000","5954"
"166","int","","","Alportian","","","","318.10000","314.60000","5954"
"455","int","","","Westphalian A","","","","318.10000","314.60000","5954"
"162","int","","","Cheremshanian","","","","318.10000","314.60000","5954"
"446","int","","","Westphalian","","","","318.10000","306.95000","5954"
"876","int","","","Voznesenian","","","","318.10000","314.60000","15443"
"899","int","","","Luosuan","","","","318.10000","314.60000","15443"
"460","int","","","Morrowan","","","","318.10000","314.60000","5954"
"167","int","","","Chokierian","","","","318.10000","314.60000","5954"
"163","int","","","Yeadonian","","","","318.10000","314.60000","5954"
"873","int","","","Prikarnian","","","","318.10000","314.60000","15443"
"164","int","","","Marsdenian","","","","318.10000","314.60000","5954"
"874","int","","","Severokeltmenian","","","","318.10000","314.60000","15443"
"165","int","","","Kinderscoutian","","","","318.10000","314.60000","5954"
"27","int","1","4","Pennsylvanian","","18","#99C2B5","323.20000","298.90000","47900"
"52","int","1","5","Bashkirian","","27","#99C2B6","323.20000","315.20000","5954"
"880","int","","","Tarussian","","","","326.40000","318.10000","15443"
"447","int","","","Namurian","","","","326.40000","314.60000","5954"
"877","int","","","Zapaltyubian","","","","326.40000","314.60000","15443"
"900","int","","","Dewunian","","","","326.40000","318.10000","15443"
"777","int","","","Late Mississippian","","","","326.40000","318.10000","15443"
"168","int","","","Arnsbergian","","","","326.40000","318.10000","5954"
"878","int","","","Protvian","","","","326.40000","318.10000","15443"
"169","int","","","Pendleian","","","","326.40000","318.10000","5954"
"879","int","","","Steshevian","","","","326.40000","318.10000","15443"
"53","int","1","5","Serpukhovian","","28","#BFC26B","330.90000","323.20000","5954"
"170","int","","","Brigantian","","","","336.00000","326.40000","5954"
"881","int","","","Venevian","","","","336.00000","326.40000","15443"
"171","int","","","Asbian","","","","339.40000","336.00000","5954"
"461","int","","","Chesterian","","","","339.40000","318.10000","5954"
"882","int","","","Mikhailovian","","","","339.40000","336.00000","15443"
"901","int","","","Shangsian","","","","339.40000","326.40000","15443"
"884","int","","","Tulian","","","","342.80000","339.40000","15443"
"172","int","","","Holkerian","","","","342.80000","339.40000","5954"
"883","int","","","Aleksian","","","","342.80000","339.40000","15443"
"885","int","","","Bobrikovian","","","","345.00000","342.80000","15443"
"173","int","","","Arundian","","","","345.00000","342.80000","5954"
"462","int","","","Meramecian","","","","345.00000","336.00000","5954"
"902","int","","","Jiusian","","","","345.30000","339.40000","15443"
"886","int","","","Radaevian","","","","345.30000","345.00000","15443"
"778","int","","","Middle Mississippian","","","","345.30000","326.40000","15443"
"174","int","","","Chadian","","","","345.30000","345.00000","5954"
"54","int","1","5","Visean","","28","#A6B96C","346.70000","330.90000","5954"
"463","int","","","Osagean","","","","353.80000","342.80000","5954"
"175","int","","","Ivorian","","","","353.80000","345.30000","5954"
"887","int","","","Kosvinian","","","","353.80000","345.00000","15443"
"888","int","","","Kizolovian","","","","353.80000","345.30000","15443"
"893","int","","","Gumerovian","","","","358.90000","353.80000","15443"
"889","int","","","Cherepetsian","","","","358.90000","353.80000","15443"
"903","int","","","Tangbagouan","","","","358.90000","345.30000","15443"
"464","int","","","Kinderhookian","","","","358.90000","353.80000","5954"
"779","int","","","Early Mississippian","","","","358.90000","345.30000","15443"
"176","int","","","Hastarian","","","","358.90000","353.80000","5954"
"890","int","","","Karakubian","","","","358.90000","353.80000","15443"
"891","int","","","Upinian","","","","358.90000","353.80000","15443"
"892","int","","","Malevian","","","","358.90000","353.80000","15443"
"18","int","1","3","Carboniferous","C","3","#67A599","358.90000","298.90000","47900"
"28","int","1","4","Mississippian","","18","#678F66","358.90000","323.20000","47900"
"55","int","1","5","Tournaisian","","28","#8CB06C","358.90000","346.70000","5954"
"1068","int","","","Late Famennian","","","","364.70000","360.70000","33105"
"1069","int","","","Middle Famennian","","","","370.60000","364.70000","33105"
"177","int","1","5","Famennian","","56","#F2EDC5","372.20000","358.90000","47900"
"399","int","","","Pilton","","","","376.10000","353.80000","5954"
"418","int","","","Hemberg","","","","376.10000","360.70000","5954"
"400","int","","","Baggy","","","","376.10000","360.70000","5954"
"432","int","","","Conewangoan","","","","376.10000","360.70000","5954"
"419","int","","","Nehden","","","","376.10000","360.70000","5954"
"401","int","","","Upcott","","","","376.10000","360.70000","5954"
"433","int","","","Conneaut","","","","376.10000","360.70000","5954"
"402","int","","","Pickwell Down","","","","376.10000","360.70000","5954"
"434","int","","","Canadaway","","","","376.10000","360.70000","5954"
"416","int","","","Wocklum","","","","376.10000","360.70000","5954"
"1070","int","","","Early Famennian","","","","376.10000","370.60000","33105"
"417","int","","","Dasberg","","","","376.10000","360.70000","5954"
"1071","int","","","Late Frasnian","","","","379.50000","376.10000","33105"
"1072","int","","","Middle Frasnian","","","","382.40000","379.50000","33105"
"56","int","1","4","Late Devonian","","19","#F1E19D","382.70000","358.90000","47900"
"178","int","1","5","Frasnian","","56","#F2EDAD","382.70000","372.20000","47900"
"1073","int","","","Early Frasnian","","","","383.70000","382.40000","33105"
"436","int","","","Sonyea","","","","383.70000","376.10000","5954"
"410","int","","","Famennien","","","","383.70000","360.70000","5954"
"435","int","","","West Falls","","","","383.70000","376.10000","5954"
"179","int","1","5","Givetian","","57","#F1E185","387.70000","382.70000","47900"
"404","int","","","Ilfracombe","","","","388.10000","383.70000","5954"
"437","int","","","Genesee","","","","388.10000","376.10000","5954"
"1076","int","","","Late Givetian","","","","388.10000","383.70000","33153"
"1078","int","","","Early Givetian","","","","388.10000","383.70000","33153"
"438","int","","","Taghanic","","","","388.10000","383.70000","5954"
"420","int","","","Adorf","","","","388.10000","376.10000","5954"
"411","int","","","Frasnien","","","","388.10000","376.10000","5954"
"1077","int","","","Middle Givetian","","","","388.10000","383.70000","33153"
"439","int","","","Tioughnioga","","","","388.10000","383.70000","5954"
"421","int","","","Givet","","","","388.10000","383.70000","5954"
"412","int","","","Givetien","","","","388.10000","383.70000","5954"
"403","int","","","Morte","","","","388.10000","376.10000","5954"
"426","int","","","Srbsko","","","","388.10000","383.70000","5954"
"422","int","","","Eifel","","","","391.90000","388.10000","5954"
"427","int","","","Chotec","","","","391.90000","388.10000","5954"
"441","int","","","Southwood","","","","391.90000","388.10000","5954"
"405","int","","","Hangman","","","","391.90000","388.10000","5954"
"440","int","","","Cazenovian","","","","391.90000","383.70000","5954"
"57","int","1","4","Middle Devonian","","19","#F1C868","393.30000","382.70000","47900"
"180","int","1","5","Eifelian","","57","#F1D576","393.30000","387.70000","47900"
"1074","int","","","Late Emsian","","","","402.50000","391.90000","33153"
"181","int","1","5","Emsian","","58","#E5D075","407.60000","393.30000","47900"
"413","int","","","Couvinien","","","","409.10000","383.70000","5954"
"423","int","","","Ems","","","","409.10000","391.90000","5954"
"1075","int","","","Early Emsian","","","","409.10000","402.50000","33153"
"428","int","","","Daleje","","","","409.10000","388.10000","5954"
"442","int","","","Sawkill","","","","409.10000","391.90000","5954"
"406","int","","","Lynton","","","","409.10000","388.10000","5954"
"429","int","","","Zlichovian","","","","409.10000","391.90000","5954"
"443","int","","","Deer Park","","","","409.10000","391.90000","5954"
"182","int","1","5","Pragian","","58","#E5C468","410.80000","407.60000","47900"
"414","int","","","Coblencien","","","","412.30000","391.90000","5954"
"424","int","","","Siegen","","","","412.30000","409.10000","5954"
"407","int","","","Brecon","","","","412.30000","391.90000","5954"
"430","int","","","Pragian (Czechoslovakia)","","","","412.30000","391.90000","5954"
"431","int","","","Lochkovian (Czechoslovakia)","","","","416.00000","409.10000","5954"
"415","int","","","Gedinnine","","","","416.00000","412.30000","5954"
"425","int","","","Gedinne","","","","416.00000","412.30000","5954"
"444","int","","","Helderberg","","","","416.00000","391.90000","5954"
"408","int","","","Ditton","","","","416.00000","412.30000","5954"
"409","int","","","Downton","","","","418.70000","412.30000","5954"
"19","int","1","3","Devonian","D","3","#CB8C37","419.20000","358.90000","47900"
"58","int","1","4","Early Devonian","","19","#E5AC4D","419.20000","393.30000","47900"
"183","int","1","5","Lochkovian","","58","#E5B75A","419.20000","410.80000","47900"
"386","int","","","Burgsvik","","","","421.30000","419.20000","5954"
"387","int","","","Eke","","","","421.30000","419.20000","5954"
"841","int","","","Kuressaare","","","","421.30000","419.20000","15443"
"370","int","","","Whitcliffe","","","","421.30000","419.20000","5954"
"371","int","","","Leintwardine","","","","421.30000","419.20000","5954"
"385","int","","","Hamra","","","","421.30000","419.20000","5954"
"372","int","","","Bringewood","","","","422.90000","421.30000","5954"
"373","int","","","Elton","","","","422.90000","421.30000","5954"
"1095","int","","","Kuimov","","","","422.90000","419.20000","42596"
"842","int","","","Paadla","","","","422.90000","419.20000","15443"
"1091","int","","","Salina","","","","422.90000","419.20000","42596"
"394","int","","","Cayugan","","","","422.90000","419.20000","5954"
"367","int","","","Red Downtonian","","","","423.00000","419.20000","5954"
"381","int","","","Pridolischichten","","","","423.00000","419.20000","5954"
"839","int","","","Ohesaare","","","","423.00000","419.20000","15443"
"368","int","","","Temeside Shales","","","","423.00000","419.20000","5954"
"784","int","","","unnamed Pridoli stage","","","","423.00000","419.20000","15443"
"840","int","","","Kaugetuma","","","","423.00000","419.20000","15443"
"369","int","","","Downton Castle","","","","423.00000","419.20000","5954"
"384","int","","","Sundre","","","","423.00000","419.20000","5954"
"59","int","1","4","Pridoli","","20","#E6F5E1","423.00000","419.20000","47900"
"3001","int","1","5","Pridoli","","59","#E6F5E1","423.00000","419.20000","47900"
"382","int","","","Kopaninaschichten","","","","425.40000","419.20000","5954"
"374","int","","","Wenlock (England)","","","","425.40000","422.90000","5954"
"186","int","","","Gleedonian","","","","425.40000","422.90000","5954"
"388","int","","","Hemse","","","","425.40000","419.20000","5954"
"375","int","","","Tickwood","","","","425.40000","422.90000","5954"
"184","int","1","5","Ludfordian","","60","#D9F0DF","425.60000","423.00000","47900"
"843","int","","","Rootsikula","","","","426.20000","422.90000","15443"
"187","int","","","Whitwellian","","","","426.20000","425.40000","5954"
"1096","int","","","Chagyrka","","","","426.20000","422.90000","42596"
"60","int","1","4","Ludlow","","20","#BFE6CF","427.40000","423.00000","47900"
"185","int","1","5","Gorstian","","60","#CCECDD","427.40000","425.60000","47900"
"390","int","","","Slite","","","","428.20000","426.20000","5954"
"1092","int","","","Lockport","","","","428.20000","422.90000","42596"
"395","int","","","Lockportian","","","","428.20000","422.90000","5954"
"377","int","","","Buildwas","","","","428.20000","426.20000","5954"
"391","int","","","Hogklint","","","","428.20000","426.20000","5954"
"844","int","","","Jaagarahu","","","","428.20000","422.90000","15443"
"392","int","","","Upper Visby","","","","428.20000","426.20000","5954"
"845","int","","","Jaani","","","","428.20000","426.20000","15443"
"389","int","","","Mulde","","","","428.20000","422.90000","5954"
"376","int","","","Coalbrookdale","","","","428.20000","422.90000","5954"
"785","int","1","5","Homerian","","61","#CCEBD1","430.50000","427.40000","47900"
"61","int","1","4","Wenlock","","20","#B3E1C2","433.40000","427.40000","47900"
"188","int","1","5","Sheinwoodian","","61","#BFE6C3","433.40000","430.50000","47900"
"1097","int","","","Chesnokovka","","","","436.00000","426.20000","42596"
"396","int","","","Tonawandan","","","","436.00000","426.20000","5954"
"1098","int","","","Polaty","","","","436.00000","428.20000","42596"
"378","int","","","Woolhope","","","","436.00000","428.20000","5954"
"393","int","","","Lower Visby","","","","436.00000","428.20000","5954"
"189","int","1","5","Telychian","","62","#BFE6D1","438.50000","433.40000","47900"
"1093","int","","","Clinton","","","","439.00000","426.20000","42596"
"397","int","","","Ontarian","","","","439.00000","428.20000","5954"
"1099","int","","","Syrovaty","","","","439.00000","428.20000","42596"
"379","int","","","Wych","","","","439.00000","428.20000","5954"
"846","int","","","Adavere","","","","439.00000","428.20000","15443"
"190","int","1","5","Aeronian","","62","#B3E1C2","440.80000","438.50000","47900"
"848","int","","","Juuru","","","","443.40000","439.00000","15443"
"383","int","","","Litenschichten","","","","443.40000","422.90000","5954"
"1094","int","","","Medina","","","","443.40000","436.00000","42596"
"1090","int","","","Niagaran","","","","443.40000","422.90000","42596"
"398","int","","","Alexandrian","","","","443.40000","436.00000","5954"
"1100","int","","","Vtorye Utesy","","","","443.40000","436.00000","42596"
"380","int","","","Cowleigh Park","","","","443.40000","439.00000","5954"
"847","int","","","Raikkula","","","","443.40000","436.00000","15443"
"20","int","1","3","Silurian","S","3","#B3E1B6","443.40000","419.20000","47900"
"62","int","1","4","Llandovery","","20","#99D7B3","443.40000","433.40000","47900"
"191","int","1","5","Rhuddanian","","62","#A6DCB5","443.40000","440.80000","47900"
"192","int","1","5","Hirnantian","","29","#A6DBAB","445.20000","443.40000","47900"
"326","int","","","Kosov","","","","445.60000","443.70000","5954"
"336","int","","","Porkuni","","","","445.60000","443.70000","5954"
"1011","int","","","late Late Ordovician","","","","445.60000","443.70000","19119"
"592","int","","","Kosovian","","","","445.60000","443.70000","8960"
"353","int","","","Gamach","","","","445.60000","443.70000","5954"
"354","int","","","Richmond","","","","449.50000","445.60000","5954"
"63","int","","","Ashgill","","","","449.50000","443.70000","5954"
"194","int","","","Cautleyan","","","","449.50000","445.60000","5954"
"327","int","","","Kraluv Dvur","","","","449.50000","445.60000","5954"
"337","int","","","Pirgu","","","","449.50000","445.60000","5954"
"195","int","","","Pusgillian","","","","449.50000","445.60000","5954"
"564","int","","","Gamachian","","","","449.50000","443.70000","8960"
"610","int","","","Wufeng","","","","449.50000","443.70000","8960"
"606","int","","","Qiantianjiang","","","","449.50000","443.70000","8960"
"565","int","","","Richmondian","","","","449.50000","443.70000","8960"
"597","int","","","Bolindian","","","","449.50000","443.70000","8960"
"593","int","","","Kralodvorian","","","","449.50000","445.60000","8960"
"638","int","","","Ashgillian","","","","449.50000","443.70000","8960"
"621","int","","","Chientangkiangian","","","","449.50000","443.70000","8960"
"355","int","","","Maysville","","","","452.00000","445.60000","5954"
"338","int","","","Vormsi","","","","452.00000","445.60000","5954"
"574","int","","","Harju","","","","452.00000","443.70000","8960"
"196","int","","","Onnian","","","","452.00000","449.50000","5954"
"339","int","","","Nabala","","","","452.00000","449.50000","5954"
"566","int","","","Maysvillian","","","","452.00000","449.50000","8960"
"560","int","","","Cincinnatian","","","","452.50000","443.70000","8960"
"1008","int","1","5","Katian","","29","#99D69F","453.00000","445.20000","47900"
"193","int","","","Rawtheyan","","","","455.80000","445.60000","5954"
"340","int","","","Rakvere","","","","455.80000","452.00000","5954"
"198","int","","","Marshbrookian","","","","455.80000","452.00000","5954"
"577","int","","","Streffordian","","","","455.80000","449.50000","8960"
"578","int","","","Cheneyan","","","","455.80000","452.00000","8960"
"786","int","","","middle Late Ordovician","","","","455.80000","445.60000","15443"
"588","int","","","Woolstonian","","","","455.80000","452.00000","8960"
"197","int","","","Actonian","","","","455.80000","452.00000","5954"
"598","int","","","Eastonian","","","","456.10000","449.50000","8960"
"358","int","","","Kirkfield","","","","457.50000","455.80000","5954"
"359","int","","","Rockland","","","","457.50000","455.80000","5954"
"341","int","","","Oandu","","","","457.50000","452.00000","5954"
"199","int","","","Longvillian","","","","457.50000","455.80000","5954"
"328","int","","","Bohdalec","","","","457.50000","445.60000","5954"
"200","int","","","Soudleyan","","","","457.50000","455.80000","5954"
"329","int","","","Zahorany","","","","457.50000","455.80000","5954"
"343","int","","","Johvi","","","","457.50000","449.50000","5954"
"579","int","","","Burrellian","","","","457.50000","455.80000","8960"
"201","int","","","Harnagian","","","","457.50000","455.80000","5954"
"561","int","","","Mohawkian","","","","457.50000","452.50000","8960"
"357","int","","","Sherman","","","","457.50000","454.00000","5954"
"330","int","","","Vinice","","","","457.50000","455.80000","5954"
"29","int","1","4","Late Ordovician","","21","#7FCA93","458.40000","443.40000","47900"
"1009","int","1","5","Sandbian","","29","#8CD094","458.40000","453.00000","47900"
"594","int","","","Berounian","","","","460.90000","449.50000","8960"
"617","int","","","Hanjiang","","","","460.90000","449.50000","8960"
"639","int","","","Caradocian","","","","460.90000","449.50000","8960"
"331","int","","","Letna","","","","460.90000","455.80000","5954"
"567","int","","","Chatfieldian","","","","460.90000","449.50000","8960"
"599","int","","","Gisbornian","","","","460.90000","456.10000","8960"
"557","int","","","Wildernessian","","","","460.90000","449.50000","8960"
"590","int","","","Dobrotivian","","","","460.90000","457.50000","8960"
"622","int","","","Neichiashanian","","","","460.90000","449.50000","8960"
"345","int","","","Kukruse","","","","460.90000","449.50000","5954"
"204","int","","","Middle Llandeilo","","","","460.90000","449.50000","5954"
"627","int","","","Haljala","","","","460.90000","449.50000","8960"
"332","int","","","Liben","","","","460.90000","457.50000","5954"
